identifiant;prénom;nom;date de naissance;email;manager;compétences;souhaits;jours indisponibles
A30;Animateur;A30;2000-01-01;A30@example.org;non;ENF:DEBUTANT|JEUX:REFERENT|LOGISTIQUE;;2026-09-05|2026-09-06
A31;Animateur;A31;2000-01-01;A31@example.org;non;JEUX:REFERENT|LOGISTIQUE;;
A32;Animateur;A32;2000-01-01;A32@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A33;Animateur;A33;2000-01-01;A33@example.org;non;JEUX|LOGISTIQUE;ACCUEIL;
A34;Animateur;A34;2000-01-01;A34@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A35;Animateur;A35;2000-01-01;A35@example.org;non;JEUX|LOGISTIQUE;JEUX|ANIMATION;
A36;Animateur;A36;2000-01-01;A36@example.org;non;JEUX|LOGISTIQUE;;
A37;Animateur;A37;2000-01-01;A37@example.org;non;JEUX|LOGISTIQUE;;
A38;Animateur;A38;2000-01-01;A38@example.org;non;JEUX|LOGISTIQUE;;
A39;Animateur;A39;2000-01-01;A39@example.org;non;JEUX|LOGISTIQUE;;2026-09-12
A40;Animateur;A40;2000-01-01;A40@example.org;non;ENF:DEBUTANT|HOMME_JEU:DEBUTANT|JEUX|LOGISTIQUE;;2026-09-05|2026-09-06
A41;Animateur;A41;2000-01-01;A41@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A42;Animateur;A42;2000-01-01;A42@example.org;non;JEUX|LOGISTIQUE;JEUX|ANIMATION;
A43;Animateur;A43;2000-01-01;A43@example.org;non;JEUX|LOGISTIQUE;;
A44;Animateur;A44;2000-01-01;A44@example.org;non;JEUX|LOGISTIQUE;ACCUEIL;
A45;Animateur;A45;2000-01-01;A45@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A46;Animateur;A46;2000-01-01;A46@example.org;non;JEUX|LOGISTIQUE;;
A47;Animateur;A47;2000-01-01;A47@example.org;non;JEUX|LOGISTIQUE|TROPH:DEBUTANT;;
A48;Animateur;A48;2000-01-01;A48@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A49;Animateur;A49;2000-01-01;A49@example.org;non;JEUX|LOGISTIQUE;JEUX|ANIMATION;
A50;Animateur;A50;2000-01-01;A50@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;2026-09-05|2026-09-06
A51;Animateur;A51;2000-01-01;A51@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A52;Animateur;A52;2000-01-01;A52@example.org;non;JEUX|LOGISTIQUE;;2026-09-12
A53;Animateur;A53;2000-01-01;A53@example.org;non;JEUX|LOGISTIQUE;;
A54;Animateur;A54;2000-01-01;A54@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A55;Animateur;A55;2000-01-01;A55@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;ACCUEIL;
A56;Animateur;A56;2000-01-01;A56@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;JEUX|ANIMATION;
A57;Animateur;A57;2000-01-01;A57@example.org;non;JEUX|LOGISTIQUE;;
A58;Animateur;A58;2000-01-01;A58@example.org;non;JEUX|LOGISTIQUE;;
A59;Animateur;A59;2000-01-01;A59@example.org;non;JEUX|LOGISTIQUE;;
A60;Animateur;A60;2000-01-01;A60@example.org;non;JEUX|LOGISTIQUE;;2026-09-05|2026-09-06
A61;Animateur;A61;2000-01-01;A61@example.org;non;JEUX|LOGISTIQUE;;
A62;Animateur;A62;2000-01-01;A62@example.org;non;JEUX|LOGISTIQUE;;
A63;Animateur;A63;2000-01-01;A63@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;JEUX|ANIMATION;
A64;Animateur;A64;2000-01-01;A64@example.org;non;JEUX|LOGISTIQUE;;
A65;Animateur;A65;2000-01-01;A65@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;2026-09-12
A66;Animateur;A66;2000-01-01;A66@example.org;non;JEUX|LOGISTIQUE|TROPH:DEBUTANT;ACCUEIL;
A67;Animateur;A67;2000-01-01;A67@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE|TROPH:DEBUTANT;;
A68;Animateur;A68;2000-01-01;A68@example.org;non;JEUX|LOGISTIQUE|LSF:DEBUTANT;;
A69;Animateur;A69;2000-01-01;A69@example.org;non;JEUX|LOGISTIQUE;;
A70;Animateur;A70;2000-01-01;A70@example.org;non;JEUX|LOGISTIQUE;JEUX|ANIMATION;2026-09-05|2026-09-06
A71;Animateur;A71;2000-01-01;A71@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A72;Animateur;A72;2000-01-01;A72@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A73;Animateur;A73;2000-01-01;A73@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;;
A74;Animateur;A74;2000-01-01;A74@example.org;non;JEUX|LOGISTIQUE|TROPH:DEBUTANT;;
A75;Animateur;A75;2000-01-01;A75@example.org;non;JEUX|LOGISTIQUE;;
A76;Animateur;A76;2000-01-01;A76@example.org;non;ENF|LOGISTIQUE;;
A77;Animateur;A77;2000-01-01;A77@example.org;non;ENF:DEBUTANT|JEUX|LOGISTIQUE;JEUX|ANIMATION;
A78;Animateur;A78;2000-01-01;A78@example.org;non;ENF|LOGISTIQUE;;2026-09-12
A79;Animateur;A79;2000-01-01;A79@example.org;non;ENF|LOGISTIQUE;;
A80;Animateur;A80;2000-01-01;A80@example.org;non;ENF|LOGISTIQUE;;2026-09-05|2026-09-06
A81;Animateur;A81;2000-01-01;A81@example.org;non;ENF|LOGISTIQUE;;
A82;Animateur;A82;2000-01-01;A82@example.org;non;ENF|LOGISTIQUE;;
A83;Animateur;A83;2000-01-01;A83@example.org;non;ENF|LOGISTIQUE;;
A84;Animateur;A84;2000-01-01;A84@example.org;non;ENF|LOGISTIQUE;JEUX|ANIMATION;
A85;Animateur;A85;2000-01-01;A85@example.org;non;ENF|LOGISTIQUE;;
A86;Animateur;A86;2000-01-01;A86@example.org;non;ENF|LOGISTIQUE;;
A87;Animateur;A87;2000-01-01;A87@example.org;non;ENF|LOGISTIQUE;;
A88;Animateur;A88;2000-01-01;A88@example.org;non;ENF|LOGISTIQUE;ACCUEIL;
A89;Animateur;A89;2000-01-01;A89@example.org;non;ENF|LOGISTIQUE;;
A90;Animateur;A90;2000-01-01;A90@example.org;non;ENF|LOGISTIQUE;;2026-09-05|2026-09-06
A91;Animateur;A91;2000-01-01;A91@example.org;non;ENF|LOGISTIQUE;JEUX|ANIMATION;2026-09-12
A92;Animateur;A92;2000-01-01;A92@example.org;non;ENF|LOGISTIQUE;;
A93;Animateur;A93;2000-01-01;A93@example.org;non;ENF|LOGISTIQUE|TROPH:DEBUTANT;;
A94;Animateur;A94;2000-01-01;A94@example.org;non;ENF|LOGISTIQUE;;
A95;Animateur;A95;2000-01-01;A95@example.org;non;ENF|LOGISTIQUE;;
A96;Animateur;A96;2000-01-01;A96@example.org;non;ENF|LOGISTIQUE;;
A97;Animateur;A97;2000-01-01;A97@example.org;non;ENF|LOGISTIQUE;;
A98;Animateur;A98;2000-01-01;A98@example.org;non;ENF|LOGISTIQUE;JEUX|ANIMATION;
A99;Animateur;A99;2000-01-01;A99@example.org;non;ENF|LOGISTIQUE;ACCUEIL;
A100;Animateur;A100;2000-01-01;A100@example.org;non;ENF:REFERENT|LOGISTIQUE;;2026-09-05|2026-09-06
A101;Animateur;A101;2000-01-01;A101@example.org;non;ENF:REFERENT|LOGISTIQUE;;
A102;Animateur;A102;2000-01-01;A102@example.org;non;ENF:REFERENT|LOGISTIQUE;;
A103;Animateur;A103;2000-01-01;A103@example.org;non;ENF:REFERENT|LOGISTIQUE;;
A104;Animateur;A104;2000-01-01;A104@example.org;non;ENF:REFERENT|LOGISTIQUE;;2026-09-12
A105;Animateur;A105;2000-01-01;A105@example.org;non;ENF:REFERENT|LOGISTIQUE;JEUX|ANIMATION;
A106;Animateur;A106;2000-01-01;A106@example.org;non;ENF|LOGISTIQUE:REFERENT;;
A107;Animateur;A107;2000-01-01;A107@example.org;non;ANIMATION:REFERENT|LOGISTIQUE|LSF:DEBUTANT;;
A108;Animateur;A108;2000-01-01;A108@example.org;non;ANIMATION:REFERENT|ENF:DEBUTANT|LOGISTIQUE;;
A109;Animateur;A109;2000-01-01;A109@example.org;non;CIRQUE:REFERENT|LOGISTIQUE;;
A110;Animateur;A110;2000-01-01;A110@example.org;non;CIRQUE|JEUX:DEBUTANT|LOGISTIQUE:REFERENT|TROPH:DEBUTANT;ACCUEIL;2026-09-05|2026-09-06
A111;Animateur;A111;2000-01-01;A111@example.org;non;ANIMATION:REFERENT|ENF:DEBUTANT|LOGISTIQUE;;
A112;Animateur;A112;2000-01-01;A112@example.org;non;ANIMATION:DEBUTANT|CIRQUE|ENF:DEBUTANT|LOGISTIQUE:REFERENT|TROPH:DEBUTANT;JEUX|ANIMATION;
A113;Animateur;A113;2000-01-01;A113@example.org;non;ANIMATION:REFERENT|ENF:DEBUTANT|LOGISTIQUE;;
A114;Animateur;A114;2000-01-01;A114@example.org;non;ANIMATION|ENF:DEBUTANT|LOGISTIQUE:REFERENT;;
A115;Animateur;A115;2000-01-01;A115@example.org;non;ANIMATION|ENF:DEBUTANT|HOMME_JEU:DEBUTANT|LOGISTIQUE:REFERENT;;
A116;Animateur;A116;2000-01-01;A116@example.org;non;ANIMATION|DIV:DEBUTANT|LOGISTIQUE:REFERENT;;
A117;Animateur;A117;2000-01-01;A117@example.org;non;ANIMATION|DIV:DEBUTANT|LOGISTIQUE:REFERENT|TROPH:DEBUTANT;;2026-09-12
A118;Animateur;A118;2000-01-01;A118@example.org;non;ANIMATION|ENF:DEBUTANT|LOGISTIQUE:REFERENT;;
A119;Animateur;A119;2000-01-01;A119@example.org;non;ANIMATION|ENF:DEBUTANT|LOGISTIQUE:REFERENT;JEUX|ANIMATION;
A120;Animateur;A120;2000-01-01;A120@example.org;non;CARIOLE:REFERENT|LOGISTIQUE;;2026-09-05|2026-09-06
A121;Animateur;A121;2000-01-01;A121@example.org;non;CARIOLE:REFERENT|ENF:DEBUTANT|LOGISTIQUE;ACCUEIL;
A122;Animateur;A122;2000-01-01;A122@example.org;non;CARIOLE|ENF:DEBUTANT|LOGISTIQUE;;
A123;Animateur;A123;2000-01-01;A123@example.org;non;CARIOLE|LOGISTIQUE;;
A124;Animateur;A124;2000-01-01;A124@example.org;non;CARIOLE|LOGISTIQUE;;
A125;Animateur;A125;2000-01-01;A125@example.org;non;CARIOLE|LOGISTIQUE;;
A126;Animateur;A126;2000-01-01;A126@example.org;non;CARIOLE|LOGISTIQUE;JEUX|ANIMATION;
A127;Animateur;A127;2000-01-01;A127@example.org;non;ANIMATION:DEBUTANT|DIV:DEBUTANT|HOMME_JEU:REFERENT|LOGISTIQUE;;
A128;Animateur;A128;2000-01-01;A128@example.org;non;DIV|HOMME_JEU:DEBUTANT|JEUX:DEBUTANT|LOGISTIQUE|NINJA:DEBUTANT;;
A129;Animateur;A129;2000-01-01;A129@example.org;non;ANIMATION:DEBUTANT|ENF:DEBUTANT|LOGISTIQUE|NINJA:REFERENT|TROPH:DEBUTANT;;
A130;Animateur;A130;2000-01-01;A130@example.org;non;DIV:DEBUTANT|LOGISTIQUE|NINJA;;2026-09-05|2026-09-06
A131;Animateur;A131;2000-01-01;A131@example.org;non;DIV:DEBUTANT|ENF:DEBUTANT|LOGISTIQUE|NINJA|TROPH:DEBUTANT;;
A132;Animateur;A132;2000-01-01;A132@example.org;non;ANIMATION|ENF:DEBUTANT|LOGISTIQUE;ACCUEIL;
A133;Animateur;A133;2000-01-01;A133@example.org;non;ANIMATION:DEBUTANT|HOMME_JEU|LOGISTIQUE|NINJA:DEBUTANT|TROPH:DEBUTANT;JEUX|ANIMATION;
A134;Animateur;A134;2000-01-01;A134@example.org;non;ANIMATION|ENF:DEBUTANT|LOGISTIQUE;;
A135;Animateur;A135;2000-01-01;A135@example.org;non;ANIMATION|ENF:DEBUTANT|LOGISTIQUE|TROPH:DEBUTANT;;
A136;Animateur;A136;2000-01-01;A136@example.org;non;ANIMATION|LOGISTIQUE;;
A137;Animateur;A137;2000-01-01;A137@example.org;non;ANIMATION|LOGISTIQUE;;
A138;Animateur;A138;2000-01-01;A138@example.org;non;JV:REFERENT|LOGISTIQUE;;
A139;Animateur;A139;2000-01-01;A139@example.org;non;ENF:DEBUTANT|JV|LOGISTIQUE;;
A140;Animateur;A140;2000-01-01;A140@example.org;non;ANIMATION|JV:DEBUTANT|LOGISTIQUE;JEUX|ANIMATION;2026-09-05|2026-09-06
A141;Animateur;A141;2000-01-01;A141@example.org;non;ACCUEIL:DEBUTANT|ENF:DEBUTANT|JV|LOGISTIQUE;;
A142;Animateur;A142;2000-01-01;A142@example.org;non;LOGISTIQUE|SPORT:REFERENT;;
A143;Animateur;A143;2000-01-01;A143@example.org;non;ANIMATION|LOGISTIQUE;ACCUEIL;2026-09-12
A144;Animateur;A144;2000-01-01;A144@example.org;non;ACCUEIL:REFERENT|ANIMATION:DEBUTANT|ENF:DEBUTANT|JEUX:DEBUTANT|LOGISTIQUE|TROPH:DEBUTANT;;
A145;Animateur;A145;2000-01-01;A145@example.org;non;ACCUEIL:DEBUTANT|ANIMATION|JV:DEBUTANT|LOGISTIQUE|NINJA:DEBUTANT|TROPH:DEBUTANT;;
A146;Animateur;A146;2000-01-01;A146@example.org;non;ACCUEIL:DEBUTANT|ANIMATION|CARIOLE:DEBUTANT|LOGISTIQUE;;
A147;Animateur;A147;2000-01-01;A147@example.org;non;ANIMATION:DEBUTANT|JEUX:DEBUTANT|JV:DEBUTANT|LOGISTIQUE|NINJA:DEBUTANT|SPORT|TROPH:DEBUTANT;JEUX|ANIMATION;
A148;Animateur;A148;2000-01-01;A148@example.org;non;LOGISTIQUE|SPORT:DEBUTANT|TROPH;;
A149;Animateur;A149;2000-01-01;A149@example.org;non;ANIMATION|LOGISTIQUE;;
A150;Animateur;A150;2000-01-01;A150@example.org;non;ANIMATION|CARIOLE:DEBUTANT|ENF:DEBUTANT|JEUX:DEBUTANT|LOGISTIQUE;;2026-09-05|2026-09-06
A151;Animateur;A151;2000-01-01;A151@example.org;non;ANIMATION|ENF:DEBUTANT|JEUX:DEBUTANT|LOGISTIQUE|NINJA:DEBUTANT|TROPH:DEBUTANT;;
A152;Animateur;A152;2000-01-01;A152@example.org;non;DIV|ENF:DEBUTANT|LOGISTIQUE|REF:DEBUTANT|TROPH:DEBUTANT;;
A153;Animateur;A153;2000-01-01;A153@example.org;non;ANIMATION:DEBUTANT|ENF|LOGISTIQUE|TROPH:DEBUTANT;;
